2017-08-02 18:00:40 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 18:00:40 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 18:00:40 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:00:40 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:00:51 [info] Program | === Eyeflow started ===
2017-08-02 18:00:51 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 18:00:52 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 18:00:52 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:00:53 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:00:54 [info] BaseTimerRunner | Showing window::Idle:::
2017-08-02 18:00:55 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:00:57 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 18:00:57 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:00:59 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 18:00:59 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 18:01:00 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:01:00 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 18:01:00 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:01:07 [info] Program | === Eyeflow started ===
2017-08-02 18:01:08 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 18:01:08 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 18:01:08 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:01:10 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 18:01:10 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:01:10 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:01:11 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 18:01:12 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 18:01:12 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 18:01:12 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:01:12 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:01:12 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:03:45 [info] Program | === Eyeflow started ===
2017-08-02 18:03:45 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Debugging) - Microsoft Visual Studio 
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 18:03:46 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 18:04:00 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:04:01 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:04:03 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 18:04:05 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:04:12 [info] AnimatingTimerRunner | hiding window owned by process powershell with animation
2017-08-02 18:04:13 [info] AnimatingTimerRunner | hiding window owned by process wmplayer with animation
2017-08-02 18:04:15 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 18:04:17 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:04:17 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 18:04:20 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:04:22 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 18:04:36 [info] Program | === Eyeflow started ===
2017-08-02 18:04:36 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 18:04:37 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 18:04:37 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 18:04:38 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 18:04:39 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:04:42 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:04:44 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:04:52 [info] BaseTimerRunner | Showing window::explorer:::Start
